arquivo,palavra,ascii,par_id,escritor,semente,real,marca,onde,indice,medivel,faixa_massa,faixa_massa_rel,faixa_densidade,tem_gemeo,diff_massa_acc,diff_massa_asc,diff_delta,diff_delta_rel,diff_acima_do_topo,e2_lido,e2_cer,e1_escore,e1_presente,categoria
real_asc_0149.png,pãra,para,real0149,634,-1,True,til,acima,1,True,4,0.0107,0.00404,False,,,,,,,,0.0107,,
real_asc_0150.png,vêz,vez,real0150,295,-1,True,circunflexo,acima,1,True,116,0.20901,0.07692,False,,,,,,,,0.20901,,
real_asc_0151.png,màis,mais,real0151,225,-1,True,grave,acima,1,True,42,0.06688,0.02637,False,,,,,,,,0.06688,,
real_asc_0152.png,lugãres,lugares,real0152,383,-1,True,til,acima,3,True,102,0.25823,0.07083,False,,,,,,,,0.25823,,
real_asc_0153.png,táis,tais,real0153,67,-1,True,agudo,acima,1,True,153,0.5,0.12162,False,,,,,,,,0.5,,
real_asc_0154.png,tigmâ,tigma,real0154,451,-1,True,circunflexo,acima,4,True,8,0.02963,0.00699,False,,,,,,,,0.02963,,
real_asc_0155.png,fàz,faz,real0155,609,-1,True,grave,acima,1,True,118,0.2418,0.07526,False,,,,,,,,0.2418,,
real_asc_0156.png,sér,ser,real0156,977,-1,True,agudo,acima,1,True,107,0.22338,0.06755,False,,,,,,,,0.22338,,
real_asc_0157.png,Sintõ,Sinto,real0157,388,-1,True,til,acima,4,True,3,0.00464,0.00424,False,,,,,,,,0.00464,,
real_asc_0158.png,êsse,esse,real0158,977,-1,True,circunflexo,acima,0,True,91,0.29545,0.06691,False,,,,,,,,0.29545,,
real_asc_0159.png,úrge,urge,real0159,935,-1,True,agudo,acima,0,True,9,0.02804,0.01339,False,,,,,,,,0.02804,,
real_asc_0160.png,vêr,ver,real0160,447,-1,True,circunflexo,acima,1,True,27,0.07627,0.0179,False,,,,,,,,0.07627,,
real_asc_0161.png,õutro,outro,real0161,458,-1,True,til,acima,0,True,119,0.41463,0.09015,False,,,,,,,,0.41463,,
real_asc_0162.png,pór,por,real0162,35,-1,True,agudo,acima,1,True,42,0.06158,0.03512,False,,,,,,,,0.06158,,
real_asc_0163.png,tomadà,tomada,real0163,383,-1,True,grave,acima,5,True,97,0.19094,0.05052,False,,,,,,,,0.19094,,
