arquivo,palavra,ascii,par_id,escritor,semente,real,marca,onde,indice,medivel,faixa_massa,faixa_massa_rel,faixa_densidade,tem_gemeo,diff_massa_acc,diff_massa_asc,diff_delta,diff_delta_rel,diff_acima_do_topo,e2_lido,e2_cer,e1_escore,e1_presente,categoria
real_acc_0077.png,informações,informacoes,real0077,988,-1,True,til,acima,8,True,55,0.13382,0.06044,False,,,,,,,,0.13382,,
real_acc_0078.png,zofrênia,zofrenia,real0078,244,-1,True,circunflexo,acima,4,True,97,0.24069,0.09454,False,,,,,,,,0.24069,,
real_acc_0079.png,pedagógico,pedagogico,real0079,897,-1,True,agudo,acima,5,True,93,0.19497,0.08516,False,,,,,,,,0.19497,,
real_acc_0080.png,populações,populacoes,real0080,383,-1,True,cedilha,abaixo,6,True,27,0.06429,0.03158,False,,,,,,,,0.06429,,
real_acc_0080.png,populações,populacoes,real0080,383,-1,True,til,acima,7,True,100,0.24938,0.07407,False,,,,,,,,0.24938,,
real_acc_0081.png,importância,importancia,real0081,892,-1,True,circunflexo,acima,6,True,268,0.65686,0.20427,False,,,,,,,,0.65686,,
real_acc_0082.png,não,nao,real0082,385,-1,True,til,acima,1,True,191,0.29116,0.12666,False,,,,,,,,0.29116,,
real_acc_0083.png,indivíduos,individuos,real0083,384,-1,True,agudo,acima,5,True,33,0.07301,0.03102,False,,,,,,,,0.07301,,
real_acc_0084.png,doenças,doencas,real0084,451,-1,True,cedilha,abaixo,4,True,23,0.03577,0.0599,False,,,,,,,,0.03577,,
real_acc_0085.png,desimportância,desimportancia,real0085,347,-1,True,circunflexo,acima,9,True,164,0.84103,0.12664,False,,,,,,,,0.84103,,
real_acc_0086.png,Ministério,Ministerio,real0086,383,-1,True,agudo,acima,6,True,176,0.43137,0.12222,False,,,,,,,,0.43137,,
real_acc_0087.png,Ação,Acao,real0087,383,-1,True,cedilha,abaixo,1,True,64,0.17927,0.09467,False,,,,,,,,0.17927,,
real_acc_0087.png,Ação,Acao,real0087,383,-1,True,til,acima,2,True,118,0.25053,0.06876,False,,,,,,,,0.25053,,
real_acc_0088.png,socioeconômica,socioeconomica,real0088,384,-1,True,circunflexo,acima,9,True,224,0.63818,0.15932,False,,,,,,,,0.63818,,
real_acc_0089.png,lúdicas,ludicas,real0089,201,-1,True,agudo,acima,1,True,426,2.58182,0.19505,False,,,,,,,,2.58182,,
real_acc_0090.png,relação,relacao,real0090,807,-1,True,cedilha,abaixo,4,True,100,0.26042,0.1385,False,,,,,,,,0.26042,,
real_acc_0090.png,relação,relacao,real0090,807,-1,True,til,acima,5,True,138,0.35294,0.12105,False,,,,,,,,0.35294,,
real_acc_0091.png,têm,tem,real0091,542,-1,True,circunflexo,acima,1,True,317,0.41384,0.17592,False,,,,,,,,0.41384,,
real_acc_0092.png,são,sao,real0092,439,-1,True,til,acima,1,True,170,0.26114,0.07122,False,,,,,,,,0.26114,,
real_acc_0093.png,lamentável,lamentavel,real0093,437,-1,True,agudo,acima,6,True,200,0.3861,0.09615,False,,,,,,,,0.3861,,
real_acc_0094.png,ções,coes,real0094,713,-1,True,cedilha,abaixo,0,True,46,0.27711,0.10698,False,,,,,,,,0.27711,,
real_acc_0094.png,ções,coes,real0094,713,-1,True,til,acima,1,True,102,0.37091,0.07244,False,,,,,,,,0.37091,,
real_acc_0095.png,ausência,ausencia,real0095,233,-1,True,circunflexo,acima,3,True,281,0.66746,0.15406,False,,,,,,,,0.66746,,
real_acc_0096.png,depressão,depressao,real0096,451,-1,True,til,acima,7,True,27,0.04927,0.02222,False,,,,,,,,0.04927,,
real_acc_0097.png,psiquiátrico,psiquiatrico,real0097,454,-1,True,agudo,acima,6,True,294,1.68966,0.22409,False,,,,,,,,1.68966,,
real_acc_0098.png,lização,lizacao,real0098,384,-1,True,cedilha,abaixo,4,False,0,0.0,0.0,False,,,,,,,,0.0,,
real_acc_0098.png,lização,lizacao,real0098,384,-1,True,til,acima,5,True,331,0.42382,0.1361,False,,,,,,,,0.42382,,
real_acc_0099.png,êxodo,exodo,real0099,439,-1,True,circunflexo,acima,0,True,206,1.2638,0.08781,False,,,,,,,,1.2638,,
real_acc_0100.png,exclusão,exclusao,real0100,386,-1,True,til,acima,6,True,339,0.70625,0.15826,False,,,,,,,,0.70625,,
real_acc_0101.png,Período,Periodo,real0101,437,-1,True,agudo,acima,3,True,37,0.13121,0.02213,False,,,,,,,,0.13121,,
real_acc_0102.png,educação,educacao,real0102,248,-1,True,cedilha,abaixo,5,True,34,0.13178,0.08095,False,,,,,,,,0.13178,,
real_acc_0102.png,educação,educacao,real0102,248,-1,True,til,acima,6,True,137,0.548,0.07586,False,,,,,,,,0.548,,
